1999年	チェチェンの状況の悪化、モスクワ、ボルゴドンスク、ブイナクスクの住宅の爆発、「過激派を破壊するための」チェチェンの領土への軍隊の侵入。
1999年12月31日	ロシアのエリツィン大統領は辞任し、ウラジーミル・プーチンを後継者として任命する。
2000年3月26日	ウラジーミル・プチンが最初の大統領任期に正式に選出される
2000	ソビエト国歌の新しいバージョンは、ロシア連邦の国歌として任命されています。
2000年4月	第二次チェチェン戦争の公式終結。ゲリラ戦争は2009年まで続いた。
2002年10月	モスクワのドゥブロフカにある劇場センターのテロリストによる捕獲。 125人の人質が死亡した。
2000	「日本テレビの場合」。プーチンの政策を批判的にカバーした独立したテレビチャンネルの圧力と破壊。
2003年	「ユコス事件」。ユコス石油会社ミハイル・ホドルコフスキーの頭に対する逮捕と刑事訴訟。
2003-2004	ロシアの都市、飛行機、モスクワの地下鉄でのテロ攻撃の後、プーチンは彼の有名なフレーズを発した：「ロシアはテロリストと交渉しない、それは彼らを破壊する」。
2004年3月	大統領選挙。ウラジーミルプチンは2期目に再選されます。
2004年9月1日	ベスランの学校で人質をとる。 186人の子供を含む333人が亡くなりました。
2004年	プーチンは知事と市長の選挙をキャンセルします。
2004年	エストニア、ラトビア、ブルガリア、ルーマニア、スロバキア、スロベニア、リトアニアはNATOの加盟国です。プーチンは非常に気分を害した。
2004年	ウクライナ
2005年	政党名簿でのみ下院への選挙。小選挙区制の解約。
2005年	「主権民主主義」の概念。
2006年10月7日	ジャーナリストで人権活動家のアンナ・ポリトコフスカヤの殺害。
2007年	ミュンヘンのスピーチ。ロシアのヨーロッパ通常戦力条約の停止。
2008年	ロシア連邦憲法によると、ウラジーミルプチンは第3期に再選される権利を持っていません。プーチン政権の元首長であるドミトリー・メドヴェージェフは、ロシアの主要な統一ロシア党に立候補している。メドベージェフが選挙に勝ちます。プーチンは国の首相になります。
2008年	ジョージア。
2008年	大統領任期が4年から6年に延長されました。
2008年	マグニツキーケース
2009年7月15日	ナタリア・エステミロワの殺害。
2010年	「プーチンは去れ」キャンペーン
2011	プーチン大統領は再び大統領に立候補することを発表した。これは「キャスリング」と呼ばれます。プーチンは、彼とメドベージェフが2007年に「キャスリング」に同意したと主張している。
2011	ロシアでの抗議運動。
2011	リビア
2012年	大統領選挙。ウラジーミルプチンは彼の3期目に選出されます。
2012年	シリア+2015
2012年	ショイグと新軍
2012年	法「ディマ・ヤコブレフ」
2012年	外国代理人法。
2012年	名誉毀損法
2012年	IldarDadinの法則。 「会議、集会、デモ、行進、ピケットの開催」を6か月間に数回禁止する。この記事で最初に有罪判決を受けたIldarDadinは、懲役3年の判決を受けました。
2013年	インターネットリソースの超法規的閉鎖に関する法律。
2013年	「信者の気持ちを侮辱することに関する」法律。
2013年	同性愛宣伝法。
2013年	ナワルニーの調査
2014年	クリミアの併合
2014年	報復的食品制裁。
2014年	選挙法。
2015年	ボリス・ネムツォフの暗殺。
2015年	望ましくない組織に関する法律。
2017年	「彼はあなたにとってダイモンではない」と抗議する
2018年	大統領選挙。ウラジーミルプチンは彼の4期目に選出されます。
2018年	スクリパル
2019年	「外国代理人」に関する法律の改正。これで、このステータスを個人に割り当てることができます。メディア間の外国エージェントのリストの拡大。
2020	プーチン大統領は、連邦議会へのメッセージの中で、歴史上初めて、核ミサイル兵器の分野で他の国々に先んじることができたと述べています。
2020	プーチンは、ロシア憲法の改正に関する国民投票を発表しました。改正案の1つは、1人の人物が無制限に大統領に再選される可能性です。
2020	ベラルーシでの抗議。
2020	ナワルニーの中毒
2021年	ナワルニーの逮捕。
2021年	プーチン宮殿
2021年	ロシアとウクライナの歴史的統一についての記事
2022年	ウクライナの侵略。
2024年	プーチン大統領は大統領に立候補しないと述べた。しかし、修正案の採択後、彼はそうすることを認めた。
